"grouping","group1","group2","group3","variable","level","emmean","SE","df","lower.CL","upper.CL"
"attn_space_slot","switch","mixed","1","ldiff","listening
difficulty",0.585418551367213,0.0232380676231948,36.9055825307619,0.538329687471493,0.632507415262933
"attn_space_slot","switch","mixed","1","ldiff","control",0.554025782187466,0.0232667271152523,37.0864350790573,0.506886623526724,0.601164940848209
"attn_space_slot","maintain","mixed","1","ldiff","listening
difficulty",0.576793410654639,0.0231651864107442,36.4452095569111,0.529832154678909,0.623754666630368
"attn_space_slot","maintain","mixed","1","ldiff","control",0.543196610104853,0.0229527363889539,35.1272550691796,0.496606111515396,0.58978710869431
"attn_space_slot","switch","non-spatial","1","ldiff","listening
difficulty",0.587557789450547,0.0232982626016122,37.288739831189,0.540363360946057,0.634752217955036
"attn_space_slot","switch","non-spatial","1","ldiff","control",0.559830163155357,0.0232353725151079,36.8861760113997,0.512745922162725,0.606914404147989
"attn_space_slot","maintain","non-spatial","1","ldiff","listening
difficulty",0.593226247015997,0.0233356058355675,37.5284077080166,0.545966280221683,0.640486213810312
"attn_space_slot","maintain","non-spatial","1","ldiff","control",0.561519248175268,0.0231122515122197,36.1134913411011,0.51465054385538,0.608387952495156
"attn_space_slot","switch","spatial","1","ldiff","listening
difficulty",0.551331510552106,0.0233149571276184,37.3959721326224,0.504107798938184,0.598555222166027
"attn_space_slot","switch","spatial","1","ldiff","control",0.548631920785688,0.0234279351818022,38.1238184623662,0.501209603445418,0.596054238125958
"attn_space_slot","maintain","spatial","1","ldiff","listening
difficulty",0.579845056089111,0.0232611607546893,37.0518697523414,0.532715694546263,0.62697441763196
"attn_space_slot","maintain","spatial","1","ldiff","control",0.549171160652786,0.0229699086578526,35.2321510989624,0.502550748248733,0.595791573056838
"attn_space_slot","switch","mixed","2","ldiff","listening
difficulty",0.432140481618185,0.0227472855183658,33.8884601781371,0.385906830416383,0.478374132819986
"attn_space_slot","switch","mixed","2","ldiff","control",0.429121300576581,0.0229251849631594,34.9589043086067,0.382578745006401,0.475663856146762
"attn_space_slot","maintain","mixed","2","ldiff","listening
difficulty",0.427258689593179,0.0226463569147286,33.291549261274,0.381199653527634,0.473317725658725
"attn_space_slot","maintain","mixed","2","ldiff","control",0.398901439614913,0.0226466001078361,33.292941035288,0.352841981417858,0.444960897811968
"attn_space_slot","switch","non-spatial","2","ldiff","listening
difficulty",0.433422321735657,0.0228159148454332,34.2987744928988,0.38706967693584,0.479774966535473
"attn_space_slot","switch","non-spatial","2","ldiff","control",0.439138648549278,0.0228947818628149,34.7740765515065,0.39264897347549,0.485628323623067
"attn_space_slot","maintain","non-spatial","2","ldiff","listening
difficulty",0.4468433617755,0.0227603760944872,33.9664775499646,0.400587030894436,0.493099692656564
"attn_space_slot","maintain","non-spatial","2","ldiff","control",0.436932791057246,0.0226587183417088,33.3642070042839,0.390852391528704,0.483013190585787
"attn_space_slot","switch","spatial","2","ldiff","listening
difficulty",0.431748191501037,0.0229016210411898,34.8165891358791,0.385246672293361,0.478249710708713
"attn_space_slot","switch","spatial","2","ldiff","control",0.428568358787905,0.0230017480358018,35.4278339748733,0.381892477578234,0.475244239997577
"attn_space_slot","maintain","spatial","2","ldiff","listening
difficulty",0.432782108305641,0.0227470180792872,33.8868971708806,0.386548921856494,0.479015294754789
"attn_space_slot","maintain","spatial","2","ldiff","control",0.435085108873214,0.0226343039395354,33.2207960819077,0.389046895480023,0.481123322266405
"attn_space_slot","switch","mixed","3","ldiff","listening
difficulty",0.573311720540556,0.0233176562735174,37.4129853727062,0.52608325892265,0.620540182158462
"attn_space_slot","switch","mixed","3","ldiff","control",0.561955003712613,0.0231555863556251,36.3835957206108,0.515010483716143,0.608899523709083
"attn_space_slot","maintain","mixed","3","ldiff","listening
difficulty",0.532803692599238,0.0230270529920939,35.5847109892943,0.486083732745735,0.579523652452741
"attn_space_slot","maintain","mixed","3","ldiff","control",0.508983488094566,0.0231724535499092,36.4897393285192,0.462009465279418,0.555957510909714
"attn_space_slot","switch","non-spatial","3","ldiff","listening
difficulty",0.613291887879053,0.0237478138750346,40.2475779297904,0.565304960885767,0.66127881487234
"attn_space_slot","switch","non-spatial","3","ldiff","control",0.591820513436943,0.0236339896135188,39.4806301333896,0.544034857123487,0.639606169750398
"attn_space_slot","maintain","non-spatial","3","ldiff","listening
difficulty",0.554024966658761,0.022993284665029,35.3768380294644,0.507363885143944,0.600686048173579
"attn_space_slot","maintain","non-spatial","3","ldiff","control",0.557619760637164,0.0232059123797643,36.7011539157351,0.510587188887834,0.604652332386494
"attn_space_slot","switch","spatial","3","ldiff","listening
difficulty",0.575992152198174,0.0238300128887299,40.8065989827547,0.527859536977914,0.624124767418433
"attn_space_slot","switch","spatial","3","ldiff","control",0.563634865849916,0.0233857886540887,37.8503793530086,0.51628666538478,0.610983066315052
"attn_space_slot","maintain","spatial","3","ldiff","listening
difficulty",0.54008234374348,0.0230111938813498,35.4868596173705,0.493390036369239,0.586774651117722
"attn_space_slot","maintain","spatial","3","ldiff","control",0.539871339549851,0.0233945543570816,37.9058746067997,0.492507677976951,0.587235001122751
"attn_space_slot","switch","mixed","4","ldiff","listening
difficulty",0.450578714947518,0.0227494809770671,33.9013140492271,0.404341249438718,0.496816180456317
"attn_space_slot","switch","mixed","4","ldiff","control",0.420044756735842,0.0226465874379243,33.2928802871698,0.373985321143654,0.46610419232803
"attn_space_slot","maintain","mixed","4","ldiff","listening
difficulty",0.408940935157473,0.0226586183358326,33.3636315674921,0.362860709156559,0.455021161158386
"attn_space_slot","maintain","mixed","4","ldiff","control",0.390286808891006,0.0226107944585345,33.0830895116298,0.344289190385153,0.436284427396858
"attn_space_slot","switch","non-spatial","4","ldiff","listening
difficulty",0.520319235645785,0.0227613551219973,33.9722197758611,0.474061203363466,0.566577267928104
"attn_space_slot","switch","non-spatial","4","ldiff","control",0.448894702921503,0.0226343708338602,33.2211825712241,0.402856373672277,0.494933032170729
"attn_space_slot","maintain","non-spatial","4","ldiff","listening
difficulty",0.430072224053167,0.0226709655624023,33.4363439621637,0.383970653496427,0.476173794609907
"attn_space_slot","maintain","non-spatial","4","ldiff","control",0.452867065128089,0.0225990809762832,33.0146527491237,0.406889664378457,0.498844465877722
"attn_space_slot","switch","spatial","4","ldiff","listening
difficulty",0.455377753334556,0.0229057788010328,34.84143374828,0.408868983817033,0.501886522852079
"attn_space_slot","switch","spatial","4","ldiff","control",0.406366383930176,0.0226712705151259,33.4381021377477,0.360264284094386,0.452468483765966
"attn_space_slot","maintain","spatial","4","ldiff","listening
difficulty",0.411235283151442,0.0226706533887358,33.4345353791387,0.365134253945268,0.457336312357615
"attn_space_slot","maintain","spatial","4","ldiff","control",0.403503671747379,0.0226589653782312,33.3656423834028,0.357422844286205,0.449584499208553
