"grouping","group1","group2","variable","level","emmean","SE","df","lower.CL","upper.CL"
"space_slot","mixed","1","ldiff","listening
difficulty",0.581105981010926,0.0217988865379965,28.5834729221486,0.536494014671813,0.625717947350039
"space_slot","mixed","1","ldiff","control",0.54861119614616,0.0217523604119968,28.3397073696756,0.50407755595002,0.593144836342299
"space_slot","non-spatial","1","ldiff","listening
difficulty",0.590392018233272,0.0218616490659031,28.9137558060119,0.545674131757133,0.635109904709412
"space_slot","non-spatial","1","ldiff","control",0.560674705665313,0.0217876015555857,28.5235055562813,0.516081700348931,0.605267710981694
"space_slot","spatial","1","ldiff","listening
difficulty",0.565588283320608,0.0218464769838772,28.8335694247613,0.520896015803602,0.610280550837615
"space_slot","spatial","1","ldiff","control",0.548901540719237,0.0218005071079806,28.5912555357305,0.504286793346101,0.593516288092373
"space_slot","mixed","2","ldiff","listening
difficulty",0.429699585605682,0.0215306370170996,27.2030879026811,0.385537794547018,0.473861376664346
"space_slot","mixed","2","ldiff","control",0.414011370095747,0.021577578895589,27.4407927566801,0.369771088427013,0.458251651764481
"space_slot","non-spatial","2","ldiff","listening
difficulty",0.440132841755578,0.0215790335376889,27.4483528922443,0.395890138295698,0.484375545215459
"space_slot","non-spatial","2","ldiff","control",0.438035719803262,0.0215737827756603,27.4214073111757,0.393801782564537,0.482269657041988
"space_slot","spatial","2","ldiff","listening
difficulty",0.432265149903339,0.021598183808027,27.545890744073,0.387990394167895,0.476539905638783
"space_slot","spatial","2","ldiff","control",0.43182673383056,0.0215947755528161,27.5283468912577,0.387557671925876,0.476095795735244
"space_slot","mixed","3","ldiff","listening
difficulty",0.553057706569897,0.0217838320850674,28.5045915413951,0.508471108872887,0.597644304266907
"space_slot","mixed","3","ldiff","control",0.535469245903589,0.0217834651928068,28.5016726410524,0.490883197228784,0.580055294578395
"space_slot","non-spatial","3","ldiff","listening
difficulty",0.583658427268907,0.0218896974454781,29.0626659881292,0.538893161931061,0.628423692606754
"space_slot","non-spatial","3","ldiff","control",0.574720137037053,0.0219210848164567,29.2283964322836,0.529901697261026,0.619538576813081
"space_slot","spatial","3","ldiff","listening
difficulty",0.558037247970827,0.0219176486517885,29.2111261231743,0.513224692077058,0.602849803864596
"space_slot","spatial","3","ldiff","control",0.551753102699884,0.0219070984601578,29.1533165833873,0.506958288282237,0.59654791711753
"space_slot","mixed","4","ldiff","listening
difficulty",0.429759825052495,0.0215345406936159,27.2227585530318,0.385591508836104,0.473928141268886
"space_slot","mixed","4","ldiff","control",0.405165782813424,0.0214947416902261,27.0221978595292,0.361063911028299,0.449267654598548
"space_slot","non-spatial","4","ldiff","listening
difficulty",0.475195729849476,0.0215406905821303,27.2539015595502,0.431017141939595,0.519374317759358
"space_slot","non-spatial","4","ldiff","control",0.450880884024796,0.0214883891510535,26.990291275503,0.406789609303355,0.494972158746237
"space_slot","spatial","4","ldiff","listening
difficulty",0.433306518242999,0.0215789691122981,27.4479739436943,0.389063918777752,0.477549117708245
"space_slot","spatial","4","ldiff","control",0.404935027838777,0.0215139791534343,27.1190094995242,0.360801051363982,0.449069004313572
"attn_slot","switch","1","ldiff","listening
difficulty",0.574769283789955,0.0213416566537491,26.260501557201,0.530922050202472,0.618616517377438
"attn_slot","switch","1","ldiff","control",0.554162622042837,0.0213596009850094,26.3477349374167,0.510285518309369,0.598039725776306
"attn_slot","maintain","1","ldiff","listening
difficulty",0.583288237919916,0.021331603458428,26.2109940841878,0.539457671475568,0.627118804364263
"attn_slot","maintain","1","ldiff","control",0.551295672977636,0.0212451060903266,25.7882593153815,0.507608274166417,0.594983071788855
"attn_slot","switch","2","ldiff","listening
difficulty",0.432436998284959,0.0211728483862236,25.4398928412923,0.388868901819795,0.476005094750123
"attn_slot","switch","2","ldiff","control",0.432276102637922,0.0212222143644707,25.6770969268273,0.388626501363472,0.475925703912371
"attn_slot","maintain","2","ldiff","listening
difficulty",0.435628053224773,0.0211352078762654,25.2595735015382,0.392121947813716,0.479134158635831
"attn_slot","maintain","2","ldiff","control",0.423639779848458,0.0211094930466409,25.1369044176125,0.380175968254508,0.467103591442407
"attn_slot","switch","3","ldiff","listening
difficulty",0.587531920205928,0.0214696737671843,26.8960292943853,0.543471818971335,0.63159202144052
"attn_slot","switch","3","ldiff","control",0.572470127666491,0.0213887795863482,26.4920098374254,0.528544567464728,0.616395687868253
"attn_slot","maintain","3","ldiff","listening
difficulty",0.54230366766716,0.0212415888254818,25.7716994087459,0.498622123807159,0.585985211527161
"attn_slot","maintain","3","ldiff","control",0.535491529427194,0.0213390963043648,26.2468349353408,0.491648456596851,0.579334602257537
"attn_slot","switch","4","ldiff","listening
difficulty",0.47542523464262,0.021168634575296,25.4194938561852,0.431864068563334,0.518986400721905
"attn_slot","switch","4","ldiff","control",0.425101947862507,0.0211111554094011,25.1448066304383,0.381635402217314,0.4685684935077
"attn_slot","maintain","4","ldiff","listening
difficulty",0.41674948078736,0.0211167810756735,25.1716249807424,0.37327368679864,0.460225274776081
"attn_slot","maintain","4","ldiff","control",0.415552515255491,0.0211011367433682,25.0971287519876,0.372102437206085,0.459002593304898
"space_slot","mixed","1","attn","switch",0.56972216677734,0.0164419309808473,36.9959546575251,0.536407527184123,0.603036806370556
"space_slot","mixed","1","attn","maintain",0.559995010379746,0.0163053209810888,35.7832163078933,0.52691932906811,0.593070691691382
"space_slot","non-spatial","1","attn","switch",0.573693976302952,0.0164521394974142,37.0871843324445,0.540361420217938,0.607026532387967
"space_slot","non-spatial","1","attn","maintain",0.577372747595633,0.0164219873163776,36.8175741569452,0.54409307467195,0.610652420519316
"space_slot","spatial","1","attn","switch",0.549981715668897,0.016526156334319,37.7590277616035,0.516519248319191,0.583444183018602
"space_slot","spatial","1","attn","maintain",0.564508108370948,0.0163454756997585,36.1363196087263,0.531362288816508,0.597653927925389
"space_slot","mixed","2","attn","switch",0.430630891097383,0.0161477792904251,34.4216187768313,0.397829454528668,0.463432327666098
"space_slot","mixed","2","attn","maintain",0.413080064604046,0.016013478525554,33.2922451448354,0.380511258620978,0.445648870587115
"space_slot","non-spatial","2","attn","switch",0.436280485142467,0.0161611958621565,34.5360207074985,0.403455749526759,0.469105220758176
"space_slot","non-spatial","2","attn","maintain",0.441888076416373,0.0160581150579029,33.6646729519709,0.409242082733168,0.474534070099578
"space_slot","spatial","2","attn","switch",0.430158275144471,0.0162293303852684,35.1215529720738,0.397215058547104,0.463101491741838
"space_slot","spatial","2","attn","maintain",0.433933608589428,0.0160447697578267,33.5530251952291,0.401310706166449,0.466556511012406
"space_slot","mixed","3","attn","switch",0.567633362126584,0.0164308724172114,36.8965046119525,0.534338099796012,0.600928624457157
"space_slot","mixed","3","attn","maintain",0.520893590346902,0.0163340730761145,36.0358178195191,0.487767697984006,0.554019482709798
"space_slot","non-spatial","3","attn","switch",0.602556200657998,0.0167520456131125,39.863185072037,0.568695433439777,0.636416967876219
"space_slot","non-spatial","3","attn","maintain",0.555822363647963,0.0163340557506729,36.0359791851225,0.522696511566722,0.588948215729204
"space_slot","spatial","3","attn","switch",0.569813509024045,0.0166940455346415,39.3146930602235,0.536055254345217,0.603571763702872
"space_slot","spatial","3","attn","maintain",0.539976841646666,0.0164074694682903,36.6864871453971,0.506722558271216,0.573231125022115
"space_slot","mixed","4","attn","switch",0.43531173584168,0.0160499751347898,33.596413134832,0.402679823290533,0.467943648392827
"space_slot","mixed","4","attn","maintain",0.399613872024239,0.0160051633148105,33.2232133724466,0.367059431500371,0.432168312548108
"space_slot","non-spatial","4","attn","switch",0.484606969283644,0.0160498756228388,33.5956584996422,0.451975231720453,0.517238706846835
"space_slot","non-spatial","4","attn","maintain",0.441469644590628,0.0160053986244035,33.2251658836413,0.40891479762053,0.474024491560726
"space_slot","spatial","4","attn","switch",0.430872068632366,0.016114133619682,34.1361869805069,0.398129020688166,0.463615116576566
"space_slot","spatial","4","attn","maintain",0.40736947744941,0.0160264409421125,33.4000800410211,0.374778269088647,0.439960685810173
"attn_space","switch","mixed","ldiff","listening
difficulty",0.510362367118368,0.0210103897992924,24.6681504027526,0.467061123661678,0.553663610575058
"attn_space","switch","mixed","ldiff","control",0.491286710803126,0.0210086979936655,24.6598635571564,0.447988205898281,0.53458521570797
"attn_space","maintain","mixed","ldiff","listening
difficulty",0.486449182001132,0.0209721155035293,24.4889623312878,0.443210551933393,0.529687812068871
"attn_space","maintain","mixed","ldiff","control",0.460342086676334,0.0209657751324839,24.4591361351289,0.417113797418032,0.503570375934636
"attn_space","switch","non-spatial","ldiff","listening
difficulty",0.538647808677761,0.0210499296610228,24.8543411612354,0.495281780532971,0.58201383682255
"attn_space","switch","non-spatial","ldiff","control",0.50992100701577,0.0210368712373229,24.7923254220401,0.466576349885229,0.553265664146311
"attn_space","maintain","non-spatial","ldiff","listening
difficulty",0.506041699875856,0.0209903321740848,24.5741396062402,0.462773282832176,0.549310116919537
"attn_space","maintain","non-spatial","ldiff","control",0.502234716249442,0.0209781227374879,24.5169350175192,0.458986257646325,0.545483174852558
"attn_space","switch","spatial","ldiff","listening
difficulty",0.503612401896468,0.0210730212799376,24.9635030596512,0.460208484528673,0.547016319264263
"attn_space","switch","spatial","ldiff","control",0.486800382338421,0.0210415870908299,24.8147000347303,0.44344800802588,0.530152756650963
"attn_space","maintain","spatial","ldiff","listening
difficulty",0.490986197822419,0.0209852646792238,24.5504088663545,0.447726067915528,0.53424632772931
"attn_space","maintain","spatial","ldiff","control",0.481907820205808,0.0209845365124867,24.5467449259104,0.438648857699456,0.525166782712159
